epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,1201.4,0.64208,1.24819,0.56199,1.1413,0.93873,0.92805,0.95121,0.8209,0.6986,0.64217,0.59774,0.47534,0.56783,0.97091,0.31653,1.11499,0.008614,0.008614,0.008614
30,2470.02,0.62029,1.18152,0.5135,1.11613,0.92772,0.90646,0.9429,0.81788,0.70825,0.63601,0.60001,0.47912,0.55429,0.92576,0.3175,1.10419,0.0085645,0.0085645,0.0085645
31,3820.48,0.61154,1.16563,0.496,1.10727,0.97691,0.86382,0.93388,0.81068,0.72925,0.64371,0.58877,0.46971,0.57569,0.93412,0.35995,1.12304,0.008515,0.008515,0.008515
32,5022.33,0.60759,1.19538,0.48994,1.10422,0.93623,0.93608,0.94852,0.82672,0.69639,0.63687,0.59807,0.47553,0.56521,0.92342,0.31312,1.11947,0.0084655,0.0084655,0.0084655
33,6225.09,0.60194,1.14647,0.47768,1.09911,0.93776,0.9334,0.94501,0.82432,0.68273,0.62621,0.57638,0.46887,0.55425,0.95679,0.30583,1.09978,0.008416,0.008416,0.008416
34,7434.77,0.58886,1.12035,0.46022,1.08673,0.95495,0.89769,0.92889,0.80689,0.6974,0.64247,0.59653,0.47501,0.54724,0.93962,0.30768,1.09283,0.0083665,0.0083665,0.0083665
35,8639.32,0.59358,1.13551,0.46838,1.0895,0.92602,0.91722,0.93997,0.81853,0.70032,0.64224,0.60821,0.47156,0.54984,0.97347,0.31483,1.09287,0.008317,0.008317,0.008317
36,9843.44,0.57986,1.12696,0.45301,1.07933,0.94206,0.93393,0.94516,0.83458,0.68833,0.64133,0.58418,0.47395,0.55718,0.95696,0.30907,1.09927,0.0082675,0.0082675,0.0082675
37,11047.6,0.58523,1.10906,0.4593,1.08268,0.93535,0.94622,0.95268,0.8343,0.69185,0.6434,0.58104,0.47023,0.55386,1.00321,0.30712,1.09807,0.008218,0.008218,0.008218
38,12253.4,0.57899,1.11679,0.45515,1.0795,0.93279,0.9006,0.9313,0.80877,0.69763,0.65107,0.58995,0.4722,0.55434,0.9672,0.33519,1.10834,0.0081685,0.0081685,0.0081685
39,13458.8,0.57594,1.11433,0.44554,1.07658,0.94667,0.91387,0.94666,0.82807,0.70969,0.65039,0.61257,0.48804,0.54851,0.95994,0.30117,1.10354,0.008119,0.008119,0.008119
40,14664,0.56992,1.09158,0.44049,1.07059,0.94972,0.92021,0.94503,0.82927,0.68849,0.65581,0.59599,0.48478,0.53495,0.93408,0.29956,1.09026,0.0080695,0.0080695,0.0080695
41,15869.3,0.56814,1.08963,0.43544,1.06911,0.92823,0.9442,0.95073,0.8325,0.69814,0.6448,0.60333,0.49027,0.54763,0.93194,0.30328,1.10601,0.00802,0.00802,0.00802
42,17073.4,0.56776,1.09487,0.43911,1.07055,0.95179,0.92877,0.94163,0.8186,0.68759,0.65051,0.59744,0.47821,0.55647,0.96442,0.31735,1.11703,0.0079705,0.0079705,0.0079705
43,18274.5,0.56485,1.07383,0.44016,1.06494,0.93858,0.94112,0.92876,0.80953,0.6825,0.65251,0.58562,0.47406,0.55033,0.98164,0.31094,1.11016,0.007921,0.007921,0.007921
44,19475.8,0.55881,1.09579,0.4344,1.05877,0.9533,0.92539,0.93485,0.82752,0.69295,0.65348,0.60238,0.484,0.53912,0.9582,0.30311,1.095,0.0078715,0.0078715,0.0078715
45,20677.2,0.5608,1.08649,0.43292,1.06124,0.93973,0.93332,0.94427,0.84259,0.69029,0.64687,0.60571,0.48937,0.53459,0.92405,0.30381,1.08869,0.007822,0.007822,0.007822
46,21881.5,0.55651,1.07172,0.43101,1.06234,0.94449,0.9286,0.94292,0.84045,0.69447,0.64899,0.59434,0.47933,0.53413,0.94134,0.2964,1.08966,0.0077725,0.0077725,0.0077725
47,23087.2,0.55621,1.07069,0.42813,1.05891,0.93833,0.9354,0.94917,0.84043,0.69185,0.64478,0.59512,0.48305,0.53655,0.95285,0.2923,1.09395,0.007723,0.007723,0.007723
48,24291.1,0.55025,1.0634,0.4224,1.05147,0.93907,0.92945,0.94509,0.82955,0.69456,0.65036,0.60109,0.48757,0.54528,0.96162,0.29475,1.11088,0.0076735,0.0076735,0.0076735
49,25494.6,0.55264,1.07154,0.42529,1.05695,0.94692,0.9271,0.94701,0.83694,0.68997,0.64829,0.60618,0.49313,0.54357,0.94338,0.2921,1.10713,0.007624,0.007624,0.007624
50,26709.5,0.5472,1.05187,0.41682,1.0538,0.95155,0.93305,0.94768,0.83811,0.68251,0.64303,0.59975,0.48988,0.53681,0.94258,0.28937,1.09964,0.0075745,0.0075745,0.0075745
51,27912.8,0.54499,1.0581,0.41183,1.0468,0.94468,0.93664,0.95,0.8438,0.68346,0.64743,0.61478,0.49357,0.5364,0.94636,0.2868,1.10006,0.007525,0.007525,0.007525
52,29113.4,0.54068,1.05049,0.41477,1.04443,0.94127,0.94194,0.9543,0.84911,0.68515,0.64336,0.62003,0.49566,0.53406,0.94899,0.28278,1.09454,0.0074755,0.0074755,0.0074755
53,30317.7,0.5454,1.05113,0.41186,1.05038,0.93175,0.94356,0.95186,0.84453,0.67979,0.64347,0.61404,0.49327,0.53843,0.95426,0.28778,1.09858,0.007426,0.007426,0.007426
54,31518.9,0.5391,1.03698,0.41606,1.04539,0.94057,0.93292,0.94678,0.83781,0.67923,0.64236,0.61696,0.49329,0.54223,0.96782,0.28936,1.10307,0.0073765,0.0073765,0.0073765
55,32718.5,0.53991,1.03661,0.40138,1.04681,0.93457,0.94037,0.94469,0.83938,0.68196,0.64303,0.6209,0.49376,0.53789,0.9637,0.28734,1.10078,0.007327,0.007327,0.007327
56,33921.7,0.53489,1.03317,0.40914,1.04042,0.942,0.93518,0.94255,0.83604,0.67766,0.64527,0.6221,0.4946,0.53211,0.96651,0.28969,1.09478,0.0072775,0.0072775,0.0072775
57,35123,0.53012,1.02437,0.40198,1.0359,0.94828,0.93767,0.94101,0.83571,0.67634,0.64575,0.6204,0.49493,0.53111,0.95838,0.2882,1.09473,0.007228,0.007228,0.007228
58,36324,0.5274,1.01376,0.39381,1.03515,0.94618,0.93623,0.94531,0.83848,0.67482,0.64363,0.62345,0.49971,0.53232,0.95768,0.28438,1.09886,0.0071785,0.0071785,0.0071785
59,37526.9,0.53116,1.03198,0.40077,1.03565,0.95018,0.93617,0.94629,0.84122,0.67747,0.64367,0.6225,0.50069,0.52975,0.95627,0.28558,1.09606,0.007129,0.007129,0.007129
60,38726.9,0.52699,1.01371,0.39733,1.03471,0.94445,0.9368,0.94735,0.84214,0.6773,0.64492,0.62577,0.50371,0.52916,0.95293,0.2849,1.09637,0.0070795,0.0070795,0.0070795
61,39928.6,0.53019,1.02575,0.39705,1.04214,0.94966,0.93017,0.9495,0.84455,0.67536,0.64372,0.62347,0.50402,0.52869,0.95278,0.28548,1.09597,0.00703,0.00703,0.00703
62,41130.3,0.52942,1.0285,0.40657,1.03526,0.95124,0.93039,0.95334,0.85286,0.67546,0.64468,0.62724,0.50678,0.52821,0.95693,0.27992,1.0963,0.0069805,0.0069805,0.0069805
63,42330.8,0.51907,0.99845,0.38766,1.02687,0.94757,0.93716,0.95431,0.8519,0.67408,0.64621,0.62989,0.50813,0.52844,0.95597,0.27861,1.09669,0.006931,0.006931,0.006931
64,43532.3,0.52511,1.00209,0.39894,1.03208,0.94891,0.93493,0.95641,0.8596,0.67377,0.64911,0.63213,0.5111,0.52831,0.95653,0.27744,1.09675,0.0068815,0.0068815,0.0068815
65,44735.7,0.51228,0.99305,0.38361,1.02329,0.93072,0.94964,0.95818,0.86044,0.67276,0.64968,0.6341,0.51172,0.52806,0.95427,0.27656,1.09607,0.006832,0.006832,0.006832
66,45937.2,0.51897,1.00812,0.38853,1.02699,0.94412,0.93726,0.95929,0.86323,0.67469,0.6486,0.63661,0.51326,0.52842,0.9588,0.27706,1.09757,0.0067825,0.0067825,0.0067825
67,47136.6,0.51509,1.00364,0.39699,1.02385,0.94528,0.93691,0.95922,0.86491,0.67817,0.64812,0.63755,0.51435,0.52759,0.95679,0.27572,1.0966,0.006733,0.006733,0.006733
68,48343,0.50559,0.9918,0.38034,1.01708,0.94538,0.93934,0.95996,0.86649,0.68227,0.64931,0.64072,0.51482,0.52723,0.95607,0.27409,1.09633,0.0066835,0.0066835,0.0066835
69,49547.3,0.51144,0.99058,0.38607,1.02219,0.94177,0.94473,0.96033,0.8666,0.68219,0.64798,0.6408,0.51566,0.52629,0.95319,0.27413,1.0953,0.006634,0.006634,0.006634
70,50753.3,0.5049,0.9973,0.37516,1.01886,0.94441,0.94227,0.96019,0.8673,0.68231,0.64735,0.64064,0.51542,0.52644,0.9502,0.27463,1.09404,0.0065845,0.0065845,0.0065845
71,51960.5,0.50769,0.98603,0.37777,1.01869,0.94853,0.94003,0.96051,0.86832,0.68207,0.64707,0.63962,0.5155,0.52523,0.94847,0.27497,1.09269,0.006535,0.006535,0.006535
72,53165.1,0.50966,0.9773,0.38739,1.02112,0.94559,0.94246,0.96051,0.86951,0.68195,0.6476,0.63871,0.51523,0.52467,0.94977,0.27462,1.0914,0.0064855,0.0064855,0.0064855
73,54371.2,0.50802,0.99049,0.39117,1.0215,0.94634,0.94186,0.95932,0.86875,0.68275,0.64618,0.64017,0.51678,0.52379,0.95122,0.27455,1.09012,0.006436,0.006436,0.006436
74,55572.2,0.509,0.98762,0.39244,1.01769,0.94639,0.94324,0.95947,0.86938,0.68383,0.6488,0.64115,0.51706,0.52307,0.95582,0.27388,1.08933,0.0063865,0.0063865,0.0063865
75,56774.5,0.50444,0.99907,0.38621,1.01896,0.94825,0.94294,0.96007,0.86898,0.6846,0.64619,0.64189,0.51764,0.52254,0.95796,0.27375,1.08929,0.006337,0.006337,0.006337
76,57977.9,0.49943,0.97366,0.37065,1.01173,0.94899,0.94281,0.96021,0.87053,0.68292,0.64933,0.64262,0.51848,0.52201,0.95851,0.27293,1.08929,0.0062875,0.0062875,0.0062875
77,59179.8,0.50161,0.96816,0.37476,1.0144,0.94643,0.94628,0.9607,0.87137,0.68505,0.64681,0.64403,0.5199,0.52186,0.96118,0.27352,1.08956,0.006238,0.006238,0.006238
78,60380.6,0.50282,0.97985,0.39058,1.01468,0.94579,0.94594,0.96071,0.87163,0.68513,0.64719,0.64454,0.51968,0.52106,0.96297,0.27344,1.08903,0.0061885,0.0061885,0.0061885
79,61581.6,0.49505,0.9703,0.37832,1.00839,0.94757,0.94443,0.96103,0.87284,0.68503,0.64818,0.6447,0.52002,0.52017,0.96202,0.27282,1.08862,0.006139,0.006139,0.006139
80,62783.3,0.49702,0.96998,0.37235,1.00877,0.94774,0.94501,0.96124,0.87336,0.68729,0.64589,0.64514,0.52035,0.51958,0.96323,0.27281,1.08834,0.0060895,0.0060895,0.0060895
81,63983.6,0.49654,0.96673,0.37455,1.01047,0.94718,0.94505,0.96107,0.87293,0.6867,0.64715,0.64496,0.52059,0.51931,0.96374,0.27228,1.08871,0.00604,0.00604,0.00604
82,65187.1,0.49711,0.96208,0.37702,1.01463,0.94614,0.94633,0.96073,0.87318,0.68569,0.64825,0.64489,0.52044,0.51894,0.96302,0.27157,1.08887,0.0059905,0.0059905,0.0059905
83,66389.6,0.49424,0.95703,0.36746,1.00836,0.94772,0.94476,0.96074,0.87361,0.68809,0.64536,0.64472,0.52047,0.51815,0.96212,0.27112,1.08821,0.005941,0.005941,0.005941
84,67591.4,0.49326,0.96648,0.36968,1.00812,0.94494,0.9479,0.96096,0.87407,0.6885,0.64542,0.64595,0.5213,0.51724,0.96124,0.27097,1.08754,0.0058915,0.0058915,0.0058915
85,68793.8,0.49293,0.95947,0.35945,1.00827,0.94271,0.94931,0.96099,0.87445,0.68902,0.64498,0.64601,0.52129,0.51728,0.95979,0.27064,1.08743,0.005842,0.005842,0.005842
86,69994.6,0.49521,0.94558,0.378,1.01009,0.94173,0.94942,0.9608,0.87401,0.69076,0.64584,0.64784,0.52174,0.51738,0.96029,0.27079,1.0875,0.0057925,0.0057925,0.0057925
87,71195.1,0.49312,0.95956,0.37064,1.00745,0.94008,0.94959,0.96087,0.87442,0.69232,0.64533,0.64899,0.52223,0.51704,0.96074,0.27105,1.08693,0.005743,0.005743,0.005743
88,72397.2,0.49042,0.94967,0.36654,1.00675,0.93804,0.95036,0.96093,0.87422,0.69299,0.64521,0.64944,0.52227,0.51688,0.96004,0.27113,1.08671,0.0056935,0.0056935,0.0056935
89,73599.5,0.48915,0.95152,0.36431,1.00463,0.93762,0.95133,0.96103,0.87444,0.69192,0.64415,0.64785,0.52203,0.517,0.95985,0.27112,1.08696,0.005644,0.005644,0.005644
90,74799.3,0.48384,0.95932,0.36839,1.00037,0.93778,0.94979,0.96118,0.87446,0.6934,0.64527,0.65045,0.52283,0.51689,0.9587,0.27069,1.08693,0.0055945,0.0055945,0.0055945
91,76002.2,0.48522,0.9382,0.35814,1.00072,0.93784,0.94933,0.96117,0.87523,0.69357,0.64527,0.65038,0.5228,0.5166,0.95783,0.27058,1.08645,0.005545,0.005545,0.005545
92,77203.8,0.48356,0.9335,0.36403,0.99736,0.9386,0.94842,0.96125,0.87494,0.69492,0.64409,0.65043,0.52296,0.51632,0.95677,0.27031,1.08626,0.0054955,0.0054955,0.0054955
93,78406.2,0.47896,0.92503,0.35186,0.99823,0.93873,0.94848,0.96126,0.87523,0.69391,0.64485,0.65034,0.5231,0.51613,0.9572,0.27,1.08612,0.005446,0.005446,0.005446
94,79609.3,0.48094,0.93266,0.36051,0.99995,0.93871,0.94856,0.96125,0.87555,0.69391,0.64501,0.64977,0.52303,0.51599,0.95841,0.2703,1.08547,0.0053965,0.0053965,0.0053965
